"filename", "language", "JSON", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "CSS", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\src\pages\home.tsx", "TypeScript JSX", 0, 0, 0, 0, -89, 0, 0, 0, 0, 0, -7, -96
"c:\Users\Lenovo\Desktop\React——Editor\src\template\App.css", "CSS", 0, 0, 0, 0, 0, -57, 0, 0, 0, 0, -8, -65
"c:\Users\Lenovo\Desktop\React——Editor\src\template\App.tsx", "TypeScript JSX", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, -3, -17
"c:\Users\Lenovo\Desktop\React——Editor\src\template\import-map.json", "JSON", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\Lenovo\Desktop\React——Editor\src\template\main.tsx", "TypeScript JSX", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -2, -10
"c:\Users\Lenovo\Desktop\React——Editor\src\types\types.ts", "TypeScript", 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -5, -35
"c:\Users\Lenovo\Desktop\React——Editor\src\utils\ata.ts", "TypeScript", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, -2, -18
"c:\Users\Lenovo\Desktop\React——Editor\src\utils\babelPlug.ts", "TypeScript", 0, 0, -64, 0, 0, 0, 0, 0, 0, -7, -4, -75
"c:\Users\Lenovo\Desktop\React——Editor\src\utils\codeWorker.ts", "TypeScript", 0, 0, -52, 0, 0, 0, 0, 0, 0, -8, -12, -72
"c:\Users\Lenovo\Desktop\React——Editor\src\utils\compiler.ts", "TypeScript", 0, 0, -31, 0, 0, 0, 0, 0, 0, -2, -4, -37
"c:\Users\Lenovo\Desktop\React——Editor\src\utils\files.ts", "TypeScript", 0, 0, -31, 0, 0, 0, 0, 0, 0, -3, -2, -36
"c:\Users\Lenovo\Desktop\React——Editor\src\utils\judgeLangyage.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -1, 0, -9
"c:\Users\Lenovo\Desktop\React——Editor\src\utils\loadandcompress.ts", "TypeScript", 0, 0, -24, 0, 0, 0, 0, 0, 0, -11, -6, -41
"c:\Users\Lenovo\Desktop\React——Editor\tsconfig.app.json", "JSON", -27, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -31
"c:\Users\Lenovo\Desktop\React——Editor\tsconfig.json", "JSON with Comments", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17
"c:\Users\Lenovo\Desktop\React——Editor\tsconfig.node.json", "JSON", -22, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3, -27
"c:\Users\Lenovo\Desktop\React——Editor\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"c:\Users\Lenovo\Desktop\React——Editor\vite.config.ts", "TypeScript", 0, 0, -16, 0, 0, 0, 0, 0, 0, -1, -1, -18
"Total", "-", 21093, 8, 514, 0, 2886, 84, 360, 1, 0, 404, 568, 25918
